ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
ARG,Argentina,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,757.62","10,638.09","11,575.75","12,118.96","12,662.81","12,151.83","12,671.67","13,542.17","13,906.94","13,290.99","13,048.00","12,347.75","10,897.11","11,761.97","12,690.70","13,682.99","14,640.50","15,802.84","16,282.96","15,170.84","16,439.06","17,226.27","16,856.72","17,070.07","16,459.21","16,727.44","16,207.20","16,457.72","15,873.75","15,219.56","14,860.24","14,908.36","15,081.96","15,379.46","15,698.00",2018
ARG,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,225.36","12,238.28","13,316.97","13,941.89","14,567.55","13,979.71","14,577.75","15,579.19","15,998.83","15,290.22","15,010.69","14,205.10","12,536.26","13,531.21","14,599.63","15,741.19","16,842.73","18,179.90","18,732.25","17,452.84","18,911.82","19,817.45","19,392.31","19,637.76","18,935.00","19,243.58","18,645.09","18,933.30","18,261.48","17,508.89","17,095.52","17,150.88","17,350.60","17,692.84","18,059.30",2018
ARM,Armenia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"291,331.40","256,331.43","276,742.90","305,472.66","326,330.64","340,607.97","365,459.56","379,485.69","402,999.79","444,039.34","511,459.83","585,249.78","648,674.89","745,143.16","846,298.80","965,877.53","1,036,449.93","892,789.23","913,552.50","955,959.77","1,023,466.16","1,053,692.75","1,089,776.70","1,123,271.97","1,124,653.31","1,214,555.18","1,282,702.92","1,359,556.33","1,424,701.06","1,488,693.51","1,555,560.28","1,625,430.46","1,698,438.95",2015
ARM,Armenia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"2,073.38","1,824.29","1,969.56","2,174.02","2,322.47","2,424.08","2,600.94","2,700.77","2,868.12","3,160.19","3,640.02","4,165.17","4,616.56","5,303.12","6,023.04","6,874.07","7,376.33","6,353.90","6,501.67","6,803.48","7,283.92","7,499.04","7,755.85","7,994.23","8,004.06","8,643.88","9,128.89","9,675.85","10,139.47","10,594.90","11,070.79","11,568.05","12,087.64",2015
ABW,Aruba,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,"34,898.92","33,968.01","34,970.11","34,758.47","34,759.37","37,014.33","35,430.55","34,183.66","34,464.74","36,404.78","35,907.05","35,638.19","36,093.05","35,873.35","31,592.28","30,460.76","31,241.31","30,289.91","31,015.79","30,911.42","30,399.33","30,179.69","30,748.15","31,002.75","31,081.50","31,256.89","31,475.35","31,703.33","31,941.52","32,189.79",2017
ABW,Aruba,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,"39,355.70","38,305.89","39,435.97","39,197.30","39,198.32","41,741.25","39,955.22","38,549.09","38,866.06","41,053.86","40,492.56","40,189.37","40,702.32","40,454.56","35,626.77","34,350.75","35,230.99","34,158.09","34,976.67","34,858.96","34,281.48","34,033.79","34,674.85","34,961.96","35,050.77","35,248.56","35,494.92","35,752.00","36,020.62","36,300.59",2017
AUS,Australia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","45,649.19","44,644.51","45,325.11","46,663.06","48,468.84","49,224.61","50,683.09","52,478.11","54,381.79","56,158.21","57,193.56","57,938.12","59,683.79","60,592.56","62,495.80","63,453.87","64,243.41","65,809.72","66,124.46","66,168.89","66,809.97","67,591.28","68,967.39","69,323.74","70,124.57","70,819.21","71,584.24","72,176.81","72,994.40","73,083.89","73,568.58","74,288.06","75,099.69","75,899.95","76,685.33",2018
AUS,Australia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","29,107.62","28,466.99","28,900.97","29,754.10","30,905.53","31,387.44","32,317.42","33,461.99","34,675.85","35,808.56","36,468.74","36,943.49","38,056.60","38,636.06","39,849.64","40,460.54","40,963.99","41,962.72","42,163.41","42,191.74","42,600.52","43,098.71","43,976.17","44,203.39","44,714.03","45,156.96","45,644.77","46,022.61","46,543.94","46,601.00","46,910.06","47,368.83","47,886.35","48,396.63","48,897.42",2018
AUT,Austria,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","25,686.10","26,342.36","26,590.38","26,446.96","26,924.45","27,574.70","28,197.92","28,755.65","29,752.86","30,751.07","31,712.80","31,991.96","32,360.06","32,519.37","33,199.46","33,714.05","34,698.54","35,873.70","36,282.33","34,832.99","35,389.79","36,304.93","36,388.09","36,178.75","36,133.67","36,184.20","36,456.29","37,068.83","37,786.69","38,111.40","38,495.50","38,846.00","39,219.40","39,616.48","40,032.00",2018
AUT,Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","31,513.74","32,318.89","32,623.18","32,447.23","33,033.04","33,830.82","34,595.44","35,279.70","36,503.16","37,727.84","38,907.77","39,250.26","39,701.88","39,897.33","40,731.72","41,363.06","42,570.91","44,012.69","44,514.03","42,735.87","43,418.99","44,541.75","44,643.79","44,386.95","44,331.64","44,393.63","44,727.46","45,478.96","46,359.70","46,758.07","47,229.32","47,659.35","48,117.46","48,604.62","49,114.42",2018
AZE,Azerbaijan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"1,242.79",952.125,753.74,651.561,660.9,712.823,748.267,825.5,868.237,915.261,992.224,"1,083.22","1,172.14","1,482.43","1,968.74","2,437.83","2,661.09","2,863.94","2,976.01","2,892.70","2,916.73","3,047.11","3,092.50","3,087.20","2,957.90","2,927.32","2,920.68","2,963.98","2,990.61","3,018.55","3,048.78","3,083.34","3,120.46",2018
AZE,Azerbaijan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"6,814.49","5,220.71","4,132.92","3,572.65","3,623.86","3,908.57","4,102.91","4,526.40","4,760.74","5,018.58","5,440.58","5,939.56","6,427.09","8,128.51","10,795.02","13,367.18","14,591.34","15,703.61","16,318.09","15,861.33","15,993.08","16,707.99","16,956.84","16,927.80","16,218.82","16,051.12","16,014.76","16,252.13","16,398.19","16,551.36","16,717.15","16,906.62","17,110.17",2018
BHS,The Bahamas,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","29,688.84","27,971.79","26,441.72","26,069.58","26,430.69","27,028.67","27,693.66","28,579.63","29,438.34","31,034.66","31,811.56","32,164.30","32,558.42","31,696.70","31,541.09","32,181.06","32,590.74","32,667.70","31,536.73","29,876.28","30,000.99","29,851.51","30,433.06","29,208.51","29,098.68","28,949.28","28,757.32","28,458.70","28,585.06","28,526.55","28,054.28","28,327.31","28,499.65","28,635.56","28,768.55",2018
BHS,The Bahamas,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,286.51","28,534.90","26,974.02","26,594.40","26,962.77","27,572.79","28,251.16","29,154.97","30,030.97","31,659.42","32,451.96","32,811.80","33,213.86","32,334.80","32,176.05","32,828.90","33,246.83","33,325.34","32,171.60","30,477.72","30,604.95","30,452.45","31,045.71","29,796.51","29,684.47","29,532.06","29,336.24","29,031.60","29,160.51","29,100.83","28,619.05","28,897.57","29,073.38","29,212.02","29,347.70",2018
BHR,Bahrain,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,546.72","7,410.50","7,808.91","8,184.50","8,227.99","8,168.41","8,214.66","8,188.83","8,362.67","8,631.68","8,997.07","8,890.23","8,551.27","8,448.06","8,388.03","8,300.07","8,178.04","8,184.22","8,166.90","7,863.38","7,831.21","8,250.87","8,459.77","8,603.26","8,558.47","8,445.28","8,410.82","8,559.56","8,540.89","8,539.35","8,547.36","8,576.83","8,614.21","8,680.81","8,763.31",2016
BHR,Bahrain,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","39,296.01","38,586.72","40,661.27","42,616.98","42,843.41","42,533.16","42,774.02","42,639.49","43,544.68","44,945.46","46,848.02","46,291.74","44,526.74","43,989.33","43,676.76","43,218.76","42,583.31","42,615.48","42,525.33","40,944.91","40,777.39","42,962.58","44,050.32","44,797.47","44,564.24","43,974.84","43,795.41","44,569.89","44,472.68","44,464.66","44,506.38","44,659.84","44,854.46","45,201.24","45,630.86",2016
BGD,Bangladesh,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","20,571.79","20,939.53","21,457.63","21,904.86","22,411.31","22,990.58","23,643.91","24,391.00","25,112.13","25,966.57","26,920.06","27,729.82","28,590.13","29,767.97","31,128.00","32,650.47","34,469.83","36,318.49","37,929.76","39,536.07","41,470.14","43,661.32","45,844.59","48,023.00","50,531.65","53,435.37","56,696.28","60,370.71","64,492.53","68,805.09","73,169.18","77,705.42","82,522.88","87,639.01","93,072.33",2013
BGD,Bangladesh,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,312.42","1,335.88","1,368.93","1,397.47","1,429.78","1,466.73","1,508.41","1,556.08","1,602.08","1,656.59","1,717.42","1,769.08","1,823.97","1,899.11","1,985.88","2,083.01","2,199.08","2,317.02","2,419.81","2,522.29","2,645.68","2,785.47","2,924.75","3,063.73","3,223.77","3,409.02","3,617.06","3,851.48","4,114.44","4,389.57","4,667.98","4,957.38","5,264.72","5,591.12","5,937.75",2013
BRB,Barbados,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","28,919.48","27,695.78","26,026.57","26,144.53","26,573.89","27,014.96","27,982.63","29,198.92","30,177.49","30,166.39","31,401.71","30,563.41","30,715.22","31,292.22","31,635.64","32,779.79","34,508.23","35,126.18","35,222.14","33,296.13","32,406.52","32,070.10","31,814.33","31,262.71","31,126.68","31,794.84","32,495.98","32,568.53","32,296.72","32,183.34","32,294.51","32,695.99","33,213.33","33,738.87","34,272.72",2018
BRB,Barbados,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,843.64","14,215.55","13,358.78","13,419.33","13,639.71","13,866.10","14,362.78","14,987.07","15,489.34","15,483.65","16,117.71","15,687.43","15,765.35","16,061.51","16,237.78","16,825.04","17,712.20","18,029.38","18,078.64","17,090.07","16,633.45","16,460.77","16,329.49","16,046.36","15,976.54","16,319.49","16,679.37","16,716.61","16,577.10","16,518.90","16,575.96","16,782.03","17,047.57","17,317.31","17,591.32",2018
BLR,Belarus,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"3,557.55","3,279.79","2,899.45","2,590.99","2,672.09","2,992.06","3,260.15","3,378.23","3,583.20","3,764.96","3,977.66","4,287.71","4,811.92","5,302.04","5,872.71","6,414.51","7,099.31","7,131.85","7,695.89","8,139.29","8,292.29","8,376.00","8,510.70","8,173.55","7,952.79","8,148.16","8,408.18","8,552.13","8,621.32","8,673.74","8,722.65","8,768.78","8,779.98",2018
BLR,Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,416.20","8,311.13","7,497.08","6,911.74","6,110.23","5,460.17","5,631.09","6,305.39","6,870.36","7,119.19","7,551.14","7,934.17","8,382.40","9,035.79","10,140.50","11,173.37","12,375.99","13,517.77","14,960.90","15,029.46","16,218.12","17,152.52","17,474.95","17,651.34","17,935.21","17,224.72","16,759.49","17,171.22","17,719.16","18,022.52","18,168.33","18,278.79","18,381.87","18,479.09","18,502.69",2018
BEL,Belgium,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","27,258.27","27,649.00","27,974.11","27,577.57","28,376.43","28,967.26","29,392.55","30,401.68","30,935.23","31,970.23","33,049.93","33,239.04","33,678.98","33,788.65","34,880.18","35,442.11","36,103.72","37,090.91","37,092.90","35,966.35","36,657.43","36,771.32","36,607.27","36,476.20","36,792.32","37,244.35","37,538.73","38,053.24","38,441.60","38,707.48","39,008.43","39,313.75","39,626.75","39,958.14","40,293.58",2018
BEL,Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,450.24","30,886.72","31,249.90","30,806.93","31,699.33","32,359.35","32,834.44","33,961.75","34,557.77","35,713.97","36,920.10","37,131.36","37,622.81","37,745.33","38,964.67","39,592.41","40,331.50","41,434.29","41,436.51","40,178.03","40,950.04","41,077.27","40,894.00","40,747.60","41,100.73","41,605.70","41,934.55","42,509.31","42,943.14","43,240.16","43,576.35","43,917.43","44,267.07","44,637.27","45,011.99",2018
BLZ,Belize,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,912.36","5,334.07","5,827.64","6,011.71","5,850.24","5,739.03","5,676.58","5,673.48","5,675.47","6,057.89","6,661.73","6,792.59","6,927.23","7,338.33","7,437.37","7,388.97","7,483.57","7,318.46","7,306.12","7,338.08","7,568.80","7,532.37","7,558.06","7,427.69","7,546.24","7,605.78","7,367.86","7,282.79","7,312.11","7,319.23","7,281.72","7,222.63","7,157.12","7,093.68","7,029.09",2014
BLZ,Belize,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,076.51","5,512.31","6,022.38","6,212.60","6,045.73","5,930.81","5,866.27","5,863.07","5,865.13","6,260.32","6,884.34","7,019.57","7,158.71","7,583.55","7,685.90","7,635.88","7,733.65","7,563.02","7,550.26","7,583.29","7,821.72","7,784.07","7,810.62","7,675.89","7,798.41","7,859.94","7,614.07","7,526.15","7,556.46","7,563.81","7,525.05","7,463.98","7,396.29","7,330.72","7,263.98",2014
BEN,Benin,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","474,484.50","478,112.88","475,423.02","485,859.46","478,981.23","491,479.63","496,856.49","509,678.59","514,419.94","521,223.96","535,534.68","547,293.78","555,539.48","557,464.62","564,922.94","557,884.50","563,324.81","580,247.99","591,715.04","588,666.56","584,477.90","585,163.70","596,400.18","621,698.65","643,080.66","636,615.41","639,944.56","657,881.09","682,694.07","707,496.02","734,263.29","762,373.54","791,610.24","821,883.42","853,529.49",2017
BEN,Benin,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,017.88","2,033.31","2,021.87","2,066.26","2,037.00","2,090.16","2,113.02","2,167.55","2,187.72","2,216.65","2,277.51","2,327.52","2,362.59","2,370.78","2,402.50","2,372.56","2,395.70","2,467.67","2,516.44","2,503.47","2,485.66","2,488.58","2,536.36","2,643.95","2,734.88","2,707.39","2,721.55","2,797.83","2,903.35","3,008.83","3,122.66","3,242.21","3,366.55","3,495.29","3,629.88",2017
BTN,Bhutan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","22,022.02","23,143.40","23,938.69","25,131.27","26,043.48","27,773.73","29,202.67","30,348.50","31,388.82","32,694.82","34,032.07","35,361.99","37,625.94","39,857.00","41,338.51","42,952.71","44,847.42","49,518.60","53,812.74","55,842.92","60,029.69","64,780.13","67,736.19","69,038.17","70,631.83","73,822.45","77,991.13","81,554.58","83,952.17","87,183.26","91,983.64","95,870.51","100,861.14","106,373.94","111,392.29",2015
BTN,Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,177.93","2,288.83","2,367.48","2,485.42","2,575.64","2,746.76","2,888.07","3,001.39","3,104.28","3,233.44","3,365.69","3,497.22","3,721.12","3,941.76","4,088.28","4,247.92","4,435.30","4,897.27","5,321.95","5,522.73","5,936.79","6,406.60","6,698.95","6,827.71","6,985.32","7,300.86","7,713.14","8,065.55","8,302.67","8,622.22","9,096.96","9,481.37","9,974.93","10,520.13","11,016.43",2015
BOL,Bolivia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,295.19","2,366.67","2,356.45","2,388.78","2,430.79","2,494.79","2,552.75","2,627.00","2,705.70","2,665.29","2,680.76","2,675.58","2,692.34","2,716.04","2,779.75","2,852.50","2,938.48","3,021.14","3,153.97","3,206.77","3,285.43","3,401.53","3,519.71","3,639.59","3,781.81","3,905.88","4,017.08","4,122.53","4,233.89","4,334.76","4,433.77","4,530.66","4,629.68","4,730.85","4,834.24",2012
BOL,Bolivia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,777.65","3,895.29","3,878.46","3,931.68","4,000.83","4,106.17","4,201.56","4,323.76","4,453.29","4,386.79","4,412.26","4,403.72","4,431.31","4,470.31","4,575.17","4,694.92","4,836.43","4,972.48","5,191.10","5,278.01","5,407.47","5,598.57","5,793.07","5,990.39","6,224.47","6,428.67","6,611.70","6,785.25","6,968.54","7,134.57","7,297.51","7,456.99","7,619.96","7,786.49","7,956.65",2012
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,"2,835.07","3,508.90","3,995.68","4,415.04","4,601.85","4,704.83","4,936.66","5,122.47","5,440.06","5,670.11","5,996.08","6,363.80","6,738.34","6,713.76","6,809.76","6,933.49","6,961.21","7,210.24","7,372.89","7,664.09","7,953.58","8,224.20","8,530.63","8,773.95","9,011.24","9,261.79","9,542.43","9,844.76","10,167.90",2018
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,"4,011.33","4,964.73","5,653.47","6,246.82","6,511.14","6,656.85","6,984.87","7,247.77","7,697.12","8,022.62","8,483.83","9,004.12","9,534.05","9,499.27","9,635.10","9,810.17","9,849.39","10,201.74","10,431.87","10,843.89","11,253.49","11,636.39","12,069.96","12,414.22","12,749.97","13,104.48","13,501.54","13,929.32","14,386.52",2018
BWA,Botswana,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","21,896.83","22,589.36","21,905.94","22,165.92","21,417.55","22,356.19","23,104.89","24,405.89","24,073.85","25,903.28","25,971.07","25,649.09","26,850.02","27,753.87","28,164.66","29,080.07","31,094.03","33,203.46","34,783.79","31,688.30","33,967.12","35,242.01","36,143.33","39,502.22","40,381.15","38,965.56","39,900.89","40,311.73","41,338.68","41,996.53","43,019.18","44,728.70","45,603.41","46,520.52","47,466.31",2016
BWA,Botswana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,447.67","8,714.84","8,451.18","8,551.48","8,262.76","8,624.88","8,913.73","9,415.65","9,287.55","9,993.33","10,019.49","9,895.27","10,358.58","10,707.28","10,865.76","11,218.92","11,995.89","12,809.70","13,419.38","12,225.16","13,104.31","13,596.16","13,943.88","15,239.72","15,578.81","15,032.68","15,393.52","15,552.03","15,948.22","16,202.01","16,596.54","17,256.07","17,593.52","17,947.34","18,312.22",2016
BRA,Brazil,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,226.00","4,197.97","4,107.09","4,240.50","4,417.94","4,534.06","4,412.81","4,492.29","4,438.59","4,392.62","4,518.94","4,517.88","4,596.06","4,591.58","4,798.65","4,894.91","5,032.18","5,281.53","5,493.33","5,430.74","5,783.25","5,961.39","6,023.88","6,152.63","6,131.19","5,862.39","5,621.75","5,635.84","5,652.45","5,662.04","5,738.86","5,837.39","5,938.69","6,046.51","6,148.93",2016
BRA,Brazil,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,726.61","10,655.46","10,424.79","10,763.42","11,213.80","11,508.54","11,200.78","11,402.53","11,266.21","11,149.52","11,470.16","11,467.48","11,665.92","11,654.53","12,180.13","12,424.46","12,772.89","13,405.81","13,943.41","13,784.53","14,679.29","15,131.44","15,290.06","15,616.87","15,562.45","14,880.17","14,269.35","14,305.13","14,347.28","14,371.62","14,566.61","14,816.70","15,073.82","15,347.51","15,607.46",2016
