cause_id,cause_name
671,Cataract
672,Age-related macular degeneration
674,Age-related and other hearing loss
675,Other vision loss
970,Other non-rheumatic valve diseases
971,Cirrhosis due to NASH
972,Headache disorders
973,Substance use disorders
974,Diabetes and kidney diseases
975,Diabetes mellitus type 1
976,Diabetes mellitus type 2
977,Atopic dermatitis
978,Contact dermatitis
979,Seborrhoeic dermatitis
980,Bacterial skin diseases
981,Blindness and vision impairment
992,Upper digestive system diseases
995,Maternal abortion and miscarriage
996,Liver cancer due to NASH
997,Chronic kidney disease due to diabetes mellitus type 1
998,Chronic kidney disease due to diabetes mellitus type 2
999,Refraction disorders
1000,Near vision loss
383,Neonatal sepsis and other neonatal infections
384,Hemolytic disease and other neonatal jaundice
385,Other neonatal disorders
386,Nutritional deficiencies
387,Protein-energy malnutrition
388,Iodine deficiency
389,Vitamin A deficiency
390,Dietary iron deficiency
391,Other nutritional deficiencies
393,Sexually transmitted infections excluding HIV
394,Syphilis
395,Chlamydial infection
396,Gonococcal infection
397,Trichomoniasis
398,Genital herpes
399,Other sexually transmitted infections
400,Acute hepatitis
401,Acute hepatitis A
402,Acute hepatitis B
403,Acute hepatitis C
404,Acute hepatitis E
405,Leprosy
408,Other unspecified infectious diseases
607,Endometriosis
608,Genital prolapse
609,Premenstrual syndrome
612,Other gynecological diseases
613,Hemoglobinopathies and hemolytic anemias
614,Thalassemias
615,Sickle cell disorders
616,G6PD deficiency
618,Other hemoglobinopathies and hemolytic anemias
619,"Endocrine, metabolic, blood, and immune disorders"
626,Musculoskeletal disorders
627,Rheumatoid arthritis
628,Osteoarthritis
630,Low back pain
631,Neck pain
632,Gout
639,Other musculoskeletal disorders
640,Other non-communicable diseases
641,Congenital birth defects
642,Neural tube defects
643,Congenital heart anomalies
644,Orofacial clefts
934,Drug-susceptible tuberculosis
409,Non-communicable diseases
410,Neoplasms
411,Esophageal cancer
414,Stomach cancer
417,Liver cancer
418,Liver cancer due to hepatitis B
561,Drug use disorders
562,Opioid use disorders
563,Cocaine use disorders
564,Amphetamine use disorders
565,Cannabis use disorders
566,Other drug use disorders
567,Depressive disorders
568,Major depressive disorder
569,Dysthymia
570,Bipolar disorder
571,Anxiety disorders
572,Eating disorders
573,Anorexia nervosa
574,Bulimia nervosa
575,Autism spectrum disorders
578,Attention-deficit/hyperactivity disorder
579,Conduct disorder
582,Idiopathic developmental intellectual disability
585,Other mental disorders
935,Zika virus
936,Guinea worm disease
938,Alcoholic cardiomyopathy
941,Sexual violence
942,Myocarditis
943,Other leukemia
944,Other cardiomyopathy
945,Conflict and terrorism
946,Multidrug-resistant tuberculosis without extensive drug resistance
947,Extensively drug-resistant tuberculosis
948,HIV/AIDS - Drug-susceptible Tuberculosis
949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance
950,HIV/AIDS - Extensively drug-resistant Tuberculosis
954,Latent tuberculosis infection
955,HIV/AIDS and sexually transmitted infections
956,Respiratory infections and tuberculosis
957,Enteric infections
958,Typhoid and paratyphoid
959,Invasive Non-typhoidal Salmonella (iNTS)
961,Other infectious diseases
962,Maternal and neonatal disorders
964,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms"
965,Benign and in situ intestinal neoplasms
587,Diabetes mellitus
588,Acute glomerulonephritis
589,Chronic kidney disease
591,Chronic kidney disease due to hypertension
592,Chronic kidney disease due to glomerulonephritis
593,Chronic kidney disease due to other and unspecified causes
594,Urinary diseases and male infertility
595,Urinary tract infections
596,Urolithiasis
597,Benign prostatic hyperplasia
710,Venomous animal contact
711,Non-venomous animal contact
712,Foreign body
713,Pulmonary aspiration and foreign body in airway
714,Foreign body in eyes
715,Foreign body in other body part
716,Other unintentional injuries
717,Self-harm and interpersonal violence
718,Self-harm
721,Self-harm by firearm
723,Self-harm by other specified means
724,Interpersonal violence
725,Physical violence by firearm
966,Benign and in situ cervical and uterine neoplasms
967,Other benign and in situ neoplasms
968,Non-rheumatic calcific aortic valve disease
969,Non-rheumatic degenerative mitral valve disease
726,Physical violence by sharp object
727,Physical violence by other means
729,Exposure to forces of nature
741,Maternal deaths aggravated by HIV/AIDS
837,Thalassemias trait
838,Sickle cell trait
839,G6PD trait
842,Environmental heat and cold exposure
843,Ebola
845,Acute lymphoid leukemia
846,Chronic lymphoid leukemia
847,Acute myeloid leukemia
848,Chronic myeloid leukemia
849,Non-melanoma skin cancer (squamous-cell carcinoma)
850,Non-melanoma skin cancer (basal-cell carcinoma)
854,Executions and police conflict
